id,day,popup_id,popup_name,popup_strategy,popup_discount
db02c8eb-58b6-4dc1-b1c4-6aea88478d15,2024-03-15,err1rqhe,,,
0cf752ee-c8b5-4a76-a709-97e569f76c72,2024-04-11,w8jc44dq,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
ajs-next-c37f13b5f43996345e76d8424d2ebb53,2024-03-10,842223,1st page | Regular Traffic | Mobile | 10 OFF | SMS Trigger | 981837,1st page,10 OFF
e12805de-9b52-4f40-8cf8-b7121841e578,2024-02-24,g08g8glm,,,
4b2ff160-d701-4be2-883c-1af975775ab9,2024-04-11,t02svbd7,,,
a7e205ce-8da3-4727-a7fe-1487227809cc,2024-03-12,01g1cj9b,,,
ajs-next-6ed15dbb8bb8f8256e7c6c8362e46097,2024-02-05,827608,2nd page | ACQ | Mobile | 10 OFF | SMS Trigger | 968550,2nd page,10 OFF
ajs-next-cfa5af14510a3aab10501a1cc948106c,2024-02-24,855703,1st page | ACQ NON PDP | Mobile | 10 OFF | SMS Trigger | 976282,1st page,10 OFF
ajs-next-1795d1a4bb84cca0ea24682563bb858e,2024-03-29,906675,2nd page | ACQ International Canada | Desktop | 10 OFF | SMS Trigger | 987419,2nd page,10 OFF
0a1099ca-b4e4-4dc8-914c-3f4c71a7ffaa,2024-04-11,t02svbd7,,,
d1a47004-a896-401c-91ec-0068cd0bc75f,2024-02-14,01g1cj9b,,,
940ef689-d602-464f-b01f-57a77e6f6407,2024-03-08,01g1cj9b,,,
419c9d39-aa84-46a3-b6ae-92307d786065,2024-02-15,xgeht1ip,,,
ajs-next-abd5964bbf4b8327eec8ef85d3f5d64a,2024-02-28,827838,Exit Intent | ACQ | Mobile | 10 OFF | SMS Trigger | 976282,Exit Intent,10 OFF
0a3c5f1f-ccc1-4a51-9b94-18ab0e1ffbe8,2024-04-11,7qa0te88,,,
2afffdbc-6bfc-4f08-a7f6-bd0d194247d5,2024-04-11,7qa0te88,,,
01b9c1a3-13ad-44d6-aaef-f4fb2a1b5bea,2024-04-11,t02svbd7,,,
2cfc6409-2c1d-427d-96a9-f41046605416,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
4956a2bf-f747-46ce-a0be-df9117752229,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
1cc7dba4-02d9-41a1-b7fd-30ba71515a54,2024-03-11,err1rqhe,,,
fb6f5b37-d701-48a5-b6da-fcd27fe89a7e,2024-04-06,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
e9c286da-d959-403f-a3bf-edc73bdc811f,2024-04-11,t02svbd7,,,
1e6cbf31-0bab-4595-8d10-4e216418e516,2024-04-11,t02svbd7,,,
a91004c9-f4a0-4cef-8d1a-31d32aba151d,2024-04-11,7qa0te88,,,
737fcec1-04b3-4c0c-af09-4dea0a8d0868,2024-03-25,7qa0te88,,,
c8df39cc-f320-4358-9da6-8ac4f0888739,2024-03-08,01g1cj9b,,,
83a0ad5b-a670-46f5-af86-27bf44a17d7c,2024-03-08,01g1cj9b,,,
2a1d6956-accc-4207-aeb0-36f724ab418a,2024-03-05,i5szulbq,,,
490e183a-dd63-46f0-af06-62792b33468c,2024-04-11,a04w71n1,2nd Page | ACQ | Mobile | 10 OFF | SMS trigger,2nd Page,10 OFF
ffc3a632-b2e9-45e0-94ce-5a3f83bafefd,2024-04-11,t02svbd7,,,
db6824f0-7eff-43ed-ade2-7005217fac95,2024-03-08,01g1cj9b,,,
79259660-3d54-4ea0-bb72-85f5e6a373dd,2024-03-05,ivhfrrkf,,,
f549e0e7-6ecf-416f-88a9-25e2bba3d8dd,2024-02-15,xgeht1ip,,,
92f00e1c-42a3-4a84-85a2-1246958b22d7,2024-02-15,xgeht1ip,,,
c239633b-3dca-4658-887d-be6b56255acf,2024-04-11,t02svbd7,,,
6d2fe46e-5040-4106-97a4-e27a0f74a55d,2024-04-11,t02svbd7,,,
6f4021d5-3eab-4964-8077-bceae2970fc9,2024-03-08,i5szulbq,,,
7f5fe992-8879-4f91-9637-33604720b6da,2024-04-11,t02svbd7,,,
d27b9a42-eec8-45b0-a876-2e448ca02aae,2024-04-11,7qa0te88,,,
88f2578e-692b-4e2d-9dd9-ef504a27f3fa,2024-04-11,7qa0te88,,,
828b02ff-6a46-4baa-ad32-793ca4ac7cf7,2024-04-11,t02svbd7,,,
4448efe3-fe49-4145-b2ae-e2fa24513fac,2024-03-22,01g1cj9b,,,
5e1d522c-e29a-42e7-9d8d-9258dc262154,2024-04-11,t02svbd7,,,
0811213a-6143-47a9-af8f-bbf65876bf9d,2024-02-15,xgeht1ip,,,
7935212c-78fb-4b15-97e5-4697127043da,2024-04-11,7qa0te88,,,
3e1475b4-0c44-4461-9aae-cea9ce04b5ec,2024-04-11,t02svbd7,,,
ajs-next-00b7123ddf1b73925cb8afeb7f3ba17e,2024-04-11,906353,Exit Intent | ACQ International Canada | Mobile | 10 OFF | SMS Trigger | 981935,Exit Intent,10 OFF
64248557-2609-4c9b-ac6a-8f9faef0361a,2024-04-11,t02svbd7,,,
561a39fd-1044-49c1-8dd6-98270fd6d7f5,2024-04-11,7qa0te88,,,
cfa6b3c6-62bb-44f1-a74f-5d4dce0f02b2,2024-03-05,60ijozen,,,
b66631d7-3ed5-429f-9566-23c04ec800ac,2024-04-11,t02svbd7,,,
0333e880-cba5-4255-8cc3-fcf98ee03787,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
cf929175-b840-4a66-ad1b-bb4ddeba4745,2024-03-07,01g1cj9b,,,
ajs-next-b567e3f952ceb2582f7cde4e1bc55301,2024-03-07,948587,CREDIT CAMPAIGN - Collection - Desktop,CREDIT CAMPAIGN - Collection - Desktop,
153d4b22-54d8-40a1-bde9-8d26d50e4da8,2024-04-11,7qa0te88,,,
4a48c8d7-9b5a-4067-afd3-088e7d710686,2024-04-11,7qa0te88,,,
d91f91af-d4c5-45ef-a827-2d686fab4088,2024-03-22,01g1cj9b,,,
03998d8b-a24b-4977-9bf4-312613db02ba,2024-03-22,01g1cj9b,,,
61ed3d0c-b90a-4978-b789-2a76bd4b1282,2024-04-11,7qa0te88,,,
3119711e-206f-40eb-8d8c-6af20f86dd85,2024-04-11,7qa0te88,,,
bf053885-5495-4546-926a-f7eafe4ba7a7,2024-04-11,bgon53q1,Exit Intent | Regular_Traffic | Desktop | 10 OFF | SMS trigger,Exit Intent,10 OFF
7d9ad631-61dd-402c-b657-7744f7ce7a21,2024-03-07,01g1cj9b,,,
903434f0-c096-495c-8df4-58d18662f96d,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Desktop | 10 OFF | SMS trigger,1st Page,10 OFF
66c1460f-aaef-4783-83ce-d2f6098e955b,2024-02-19,70hsaidf,,,
7cb3b907-54c3-42a2-872a-1f9f38c1c082,2024-02-15,xgeht1ip,,,
2997ca2b-3964-475e-b266-499c243b63d0,2024-03-20,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
76f6cbd5-6013-41e9-83c3-00a7c2200142,2024-04-11,7qa0te88,,,
2f1c1521-fff0-411a-b8d0-f35122cdc522,2024-02-06,xgeht1ip,,,
25b488ea-e638-4ba2-9bed-d2f5d4b9304b,2024-04-11,t02svbd7,,,
049a70ee-9188-44c6-bd65-5e36f3da4e78,2024-04-11,7qa0te88,,,
9e2783f0-09e1-4082-9c9f-4ea2c33ece31,2024-01-11,err1rqhe,,,
c9f5044d-d5c8-449b-9ee1-f7fa72d6df82,2024-04-11,9e9jfut2,,,
6f0d4c5c-365e-490b-8fb6-77e154be24a6,2024-04-01,err1rqhe,,,
bbdeea3e-87f4-4333-86ed-f9d03a2d552b,2024-03-20,9e9jfut2,,,
55fab066-c952-4515-93f9-dcec0a628f8a,2024-01-05,xgeht1ip,,,
818d8aa2-dd92-4f7d-89d6-2e0996b2a949,2024-02-06,xgeht1ip,,,
e54cc797-0c9a-40f2-bfc9-4ae0d87ebf60,2024-04-01,err1rqhe,,,
d8f749f3-35b3-4f1c-9421-b00ed5d10a91,2024-04-11,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
a06dde95-e08d-466f-999f-510fe86a0baa,2024-03-08,i5szulbq,,,
3423425c-d8e6-4aa6-9ce9-9a0db4f885db,2024-04-04,a04w71n1,2nd Page | ACQ | Mobile | 10 OFF | SMS trigger,2nd Page,10 OFF
38db0eda-5ee5-4ff8-8381-cffc471551d4,2024-04-11,7qa0te88,,,
a2884f81-de59-4a3d-9f10-acbbf44dc769,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
6e8a7dc6-8f08-425f-ba07-e14528c907e7,2024-04-11,7qa0te88,,,
5f4b6373-7eb5-4dae-aad2-a6c7b7aafb2c,2024-04-11,7qa0te88,,,
8fb01628-4d26-4fb9-9095-40d031010256,2024-02-05,70hsaidf,,,
cd997fb8-45d1-46b0-8fc2-34e0b02dbab8,2024-03-22,01g1cj9b,,,
03bf6417-22be-40b9-a49b-b2ac5226271d,2024-03-07,ivhfrrkf,,,
085b3b4f-b4df-4348-b9f5-b2c3a1135c4e,2024-04-11,oqxmfczn,1st Page | Regular_Traffic CA | Desktop | 10 OFF | SMS trigger,1st Page,10 OFF
ajs-next-5fe6aa053c83a6a8a3c55701497011a8,2024-03-18,827870,Cart Abandon | ACQ | Mobile | 10 OFF | SMS No Trigger,Cart Abandon,10 OFF
ajs-next-9eb238d95c9d8e66f75da28f3b557edf,2024-04-11,847134,Cart Abandon | Google Organic International Canada | Mobile | 10 OFF | SMS No Trigger,Cart Abandon,10 OFF
10eabae3-2f4a-4114-9764-438c09457b42,2024-04-08,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
c84d9b16-a4c1-4b45-9e9b-3cedd0f738f2,2024-03-17,err1rqhe,,,
1288fb9c-19ca-4a15-a95e-94942e7352bc,2024-04-11,oqxmfczn,1st Page | Regular_Traffic CA | Desktop | 10 OFF | SMS trigger,1st Page,10 OFF
107a730c-31c3-413e-99c5-8debccc021c5,2024-04-01,err1rqhe,,,
87035318-5046-4977-8b70-edae5b8d5f80,2024-04-11,mzkhvqi6,,,
99d892a7-8913-479b-b971-b2dc8f7ca308,2024-02-15,xgeht1ip,,,
4895c389-5050-41cc-8e72-e4aa565ff646,2024-03-16,9e9jfut2,,,
f56d034e-0b81-401d-b93d-3b2e1430c659,2024-04-11,7qa0te88,,,
0d8b10ba-46a3-470a-80e5-f571e22dfbaf,2024-04-11,t02svbd7,,,
008ecdc3-83c3-489a-b56d-f338f7034662,2024-04-11,7qa0te88,,,
b16bc9d3-4390-485d-82b8-9cdee60d4672,2024-04-11,7qa0te88,,,
2dfa63df-3f03-401c-a0cf-18588433063e,2024-02-06,xgeht1ip,,,
665bc6d0-a786-4c2e-9843-d7e484779f13,2024-02-15,xgeht1ip,,,
b65312cf-98d5-4dd1-aee6-155ea26fb33e,2024-03-16,01g1cj9b,,,
10951043-0af0-47af-b807-a16dd379e840,2024-03-10,01g1cj9b,,,
0e1c7085-0d97-47ca-bf6c-42b7cd59eeb6,2024-02-15,xgeht1ip,,,
ca08c758-cad6-4eac-a9bd-37af9945d6c8,2024-02-15,xgeht1ip,,,
051c59bd-c7b9-4fc6-b1ef-60811876c767,2024-04-11,01g1cj9b,,,
da7e0401-7ab6-4800-a65b-f3a5f13dde4b,2024-01-11,err1rqhe,,,
a1b57c83-4752-4d38-b1ff-40e6a6062a46,2024-01-11,err1rqhe,,,
2378c2ec-260e-4021-b9b7-f57f84f5c9ce,2024-02-27,01g1cj9b,,,
ajs-next-9dcdda4350278e5fcf370a1a22a9a4fd,2024-02-19,842223,1st page | Regular Traffic | Mobile | 10 OFF | SMS Trigger | 974004,1st page,10 OFF
290f98db-6747-4470-b01a-775c4726b7b7,2024-04-04,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
87180f68-9e6e-4413-b228-beb51012b681,2024-03-27,7qa0te88,,,
0606379d-95a7-4d96-b989-9460c944ff80,2024-03-17,xy55r5iy,,,
936f3f78-0e4c-4420-80c2-9f12b4855553,2024-03-27,7qa0te88,,,
521b644c-23f9-4851-a885-766bde23f5ed,2024-01-05,xgeht1ip,,,
89fd8fac-2782-4033-87fb-13a982f7c2ab,2024-02-12,bk2t0wtf,,,
8ad15298-9dd5-4ca0-a9b5-d91e1f615eb2,2024-02-12,bk2t0wtf,,,
051b4be7-4efc-4d09-8759-b451e8ab99cf,2024-04-01,err1rqhe,,,
f93a3e9a-467f-4ee9-80ed-0fb019325fd7,2024-03-05,ivhfrrkf,,,
ajs-next-fdeb5865258e386c1e4f8dbe3c5480ed,2024-03-18,936751,Exit Intent | ACQ International AU | Mobile | 10 OFF | SMS Trigger | 981690,Exit Intent,10 OFF
639b911b-6ff7-4a6d-b75d-7f9b56b1a400,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
8e2d60dd-2d9e-4901-98c2-d0d97c1111d1,2024-04-03,w8jc44dq,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
1e456936-b5ce-4bd7-bcb3-ec48b9f79dc2,2024-04-04,bgon53q1,Exit Intent | Regular_Traffic | Desktop | 10 OFF | SMS trigger,Exit Intent,10 OFF
5f2e388a-2f5e-4f21-8f97-4772420c46ee,2024-03-01,err1rqhe,,,
15262040-ac4e-43e6-9cb7-24756871a0c6,2024-04-11,oqxmfczn,1st Page | Regular_Traffic CA | Desktop | 10 OFF | SMS trigger,1st Page,10 OFF
3e41c32a-ae44-4e6b-afe5-451f30b52127,2024-03-05,ivhfrrkf,,,
2de4aec9-0774-4928-a7d1-2854b845993d,2024-04-11,7qa0te88,,,
b3e02716-4fb8-437e-886a-f02d66f2be1f,2024-04-11,w8jc44dq,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
98e42544-66b9-411f-98c0-35c6f7cf5c32,2024-04-11,7qa0te88,,,
391e9d36-d786-4793-b64c-e6e80cacd416,2024-04-11,t02svbd7,,,
ba5b2b77-b49c-41e7-9bbf-55e9878928c6,2024-04-01,err1rqhe,,,
b4805365-3010-4b3c-a6c6-2179fdbdfc12,2024-04-01,err1rqhe,,,
6c296de1-7ae8-48b9-92f5-bf1557c51b7e,2024-04-01,err1rqhe,,,
357514af-f03d-44b1-8cc5-bb5e370e782e,2024-04-01,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
fd317357-45fc-4dc5-a71c-37b2fd1bf67a,2024-04-04,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
6a79f06d-30e5-4ba7-aebb-2885407259fc,2024-04-04,xxsoyodj,1st Page | Regular_Traffic | Desktop | 10 OFF | SMS trigger,1st Page,10 OFF
9e78442d-c39f-4221-b199-8ffc5245b850,2024-04-06,7qa0te88,,,
6e103b5c-cc10-4b9c-b693-762f6f799a04,2024-04-06,a04w71n1,2nd Page | ACQ | Mobile | 10 OFF | SMS trigger,2nd Page,10 OFF
86bad3b3-6f65-4baf-84a3-a4a1472015c2,2024-04-10,k2lyd9ke,,,
4df560f9-d904-4027-87c1-48124a214317,2024-03-07,01g1cj9b,,,
3d19fdc9-1e22-47d6-a81f-704829ae893b,2024-04-10,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
ajs-next-86af42890c469824fd9e8590955c3e14,2024-01-25,842239,Cart Abandon | Regular Traffic | Mobile | 10 OFF | SMS No Trigger,Cart Abandon,10 OFF
1c6937b7-f2a5-4cf5-a323-d1925dee61bc,2024-04-04,q32cdutb,,,
ajs-next-815ae483298044624484efd4039b0095,2024-03-17,827838,Exit Intent | ACQ | Mobile | 10 OFF | SMS Trigger | 981832,Exit Intent,10 OFF
ab9325d6-243c-4748-8325-2f64e45f721d,2024-02-12,bk2t0wtf,,,
ff50cecc-461b-4e90-84b3-32ec63b08161,2024-04-11,w8jc44dq,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
ajs-next-5fa92f54708cc5870322144733fd2986,2024-02-02,827838,Exit Intent | ACQ | Mobile | 10 OFF | SMS Trigger | 968550,Exit Intent,10 OFF
ajs-next-df03fb4113bdc02b9bfe9325590adb69,2024-02-13,842613,Cart Abandon | Google Organic | Mobile | 10 OFF | SMS No Trigger,Cart Abandon,10 OFF
10d4ceb7-4946-49a5-acd1-aac34622e3c9,2024-03-10,1r1qff9l,,,
ajs-next-22a89727e2f57ba9609e294d1dfe9008,2024-03-27,957142,CASHBACK CAMPAIGN - Collection - Desktop,CASHBACK CAMPAIGN - Collection - Desktop,
ajs-next-8ca9bfbde25a13bc1b11e27105447963,2024-01-21,855703,1st page | ACQ NON PDP | Mobile | 10 OFF | SMS Trigger | 960787,1st page,10 OFF
5a54cd79-96de-4237-b54d-7c4c235ac6d1,2024-03-24,err1rqhe,,,
ajs-next-bf985c057575b69c77e0d7df17993f24,2024-01-09,837641,1st page | Regular Traffic | Desktop | 10 OFF | SMS Trigger | 950335,1st page,10 OFF
249e7c61-6544-4992-b91f-0b402868ac3c,2024-04-05,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
89df3bca-adb8-4998-848e-fa808fb66769,2024-04-03,q32cdutb,,,
7c798ec9-62f8-4968-b2b9-67fdbcd16223,2024-02-28,01g1cj9b,,,
76d30f2d-3498-4768-afe5-3663d516e937,2024-04-01,err1rqhe,,,
009bb372-649b-45d1-a259-d50a923b18b4,2024-04-03,w8jc44dq,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
65a29566-eaa3-49a0-8e58-6d3917996e31,2024-04-11,xxsoyodj,1st Page | Regular_Traffic | Mobile | 10 OFF | SMS trigger,1st Page,10 OFF
ajs-next-5893d827eba77a5c8b900be9ea3440f4,2024-03-30,842231,2nd page | Google Organic | Mobile | 10 OFF | SMS Trigger | 986414,2nd page,10 OFF
bd2740c5-b3ba-40ed-9b2c-4d7adf4e3f7e,2024-04-11,7qa0te88,,,
410f09ff-f8fe-40f4-943b-950311e355d2,2024-04-11,7qa0te88,,,
49ceb766-48aa-4e09-ac15-09b3ec513546,2024-04-11,7qa0te88,,,
0deded36-7898-4b00-a8a1-acbf8de8f45e,2024-04-11,t02svbd7,,,
e0e23a16-80d9-4df6-b762-febb369fdfa7,2024-04-11,7qa0te88,,,
0bf06992-63b5-484a-86ba-f87f5d9f9d89,2024-04-11,zdwv8682,Exit Intent | ACQ | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
8749bb0c-8fba-4b8d-b8b1-a9cb6bc1687b,2024-01-05,xgeht1ip,,,
24418bcb-1f3c-42f6-8f1f-66f69606e78e,2024-04-11,w8jc44dq,Exit Intent | ACQ | Desktop | 10 OFF | SMS trigger,Exit Intent,10 OFF
ac1f8011-c154-4828-8866-4cb5216f96d4,2024-04-08,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
aae078bb-a2d2-4e04-a365-d77c2acb8cad,2024-01-30,err1rqhe,,,
ajs-next-d941cb12ecb44601635b53dd53060a1c,2024-03-20,842223,1st page | Regular Traffic | Mobile | 10 OFF | SMS Trigger | 981832,1st page,10 OFF
9699402c-f9e3-40e8-b697-773f02cde9a6,2024-04-11,fvgfjwg7,,,
ceab3d15-5f1f-4669-95c2-89f8006b7703,2024-03-11,err1rqhe,,,
228ad31e-7d7f-4b0d-b07f-048fb1d9c42f,2024-04-11,t02svbd7,,,
ajs-next-daa5a35e6016fa7dbe5d247c8b2bb709,2024-03-14,936758,2nd page | Google Organic International AU | Mobile | 10 OFF | SMS Trigger | 981690,2nd page,10 OFF
3bc3ae40-7458-489c-9c47-af33885eba19,2024-04-03,q32cdutb,,,
10e5d70d-38e2-443d-b545-7a7924fcb184,2024-04-04,a04w71n1,2nd Page | ACQ | Mobile | 10 OFF | SMS trigger,2nd Page,10 OFF
c0f90002-de90-4f56-967b-42e70e13b4b0,2024-02-28,01g1cj9b,,,
5a4814f5-38c8-474f-bb27-38ed01bf775a,2024-04-07,bgon53q1,Exit Intent | Regular_Traffic | Mobile | 10 OFF | SMS trigger,Exit Intent,10 OFF
30732b12-5b75-4d71-9dc7-2e9e4bc7aa09,2024-04-10,01g1cj9b,,,
fb71f006-7427-46d4-8f1c-d9ac034487d7,2024-02-11,q32cdutb,,,
f8546ddf-c0fb-41de-b9fd-f14395598b69,2024-04-06,bgon53q1,Exit Intent | Regular_Traffic | Desktop | 10 OFF | SMS trigger,Exit Intent,10 OFF
b49c2d22-7f0d-48e2-a28e-1ccb3daed311,2024-01-05,xgeht1ip,,,
14f7e45b-a784-400f-a283-8c4f5411027b,2024-01-25,xgeht1ip,,,
e78c7176-4d24-4300-8c84-f6f833872626,2024-04-11,7qa0te88,,,
6b1dd6d7-4d97-4697-8558-149952ffc91d,2024-04-11,t02svbd7,,,
